,ST_ABBR,COUNTY,FIPS,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,EP_AFAM,EP_HISP,EP_ASIAN,EP_AIAN,geometry
10,IL,Cook,17031010702,0.9023,0.6143,0.8202,0.9501,33.4,32.0,6.3,0.0,"POLYGON ((-87.67567799999995 42.012617000000034, -87.67463799999996 42.012635000000046, -87.67236599999995 42.01267500000006, -87.67019799999997 42.012714000000074, -87.67015899999996 42.01149000000004, -87.67011699999995 42.01027400000004, -87.67007299999995 42.00904900000006, -87.67003499999998 42.00783900000005, -87.66999099999998 42.00661800000006, -87.66994799999998 42.00538500000005, -87.67059299999994 42.005374000000074, -87.67402499999997 42.00531900000004, -87.67522699999995 42.00530200000003, -87.67527599999994 42.00653300000005, -87.67531099999997 42.00774700000005, -87.67532799999998 42.008962000000054, -87.67540599999995 42.01139400000005, -87.67567799999995 42.012617000000034))"
11,IL,Cook,17031020100,0.8595,0.2916,0.8235,0.8717,36.3,25.1,4.8,0.0,"POLYGON ((-87.69020299999994 42.01681800000006, -87.69019699999996 42.01743700000003, -87.69017399999996 42.01952800000004, -87.68465299999997 42.01948500000003, -87.68418299999996 42.01557500000007, -87.68408299999999 42.01515100000006, -87.68368799999996 42.014035000000035, -87.68308599999995 42.01232300000004, -87.68755699999997 42.012253000000044, -87.69024699999994 42.01228000000003, -87.69020299999994 42.01681800000006))"
12,IL,Cook,17031020200,0.6053,0.5239,0.7294,0.6401,8.0,26.9,16.7,0.0,"POLYGON ((-87.70874599999996 42.01550000000003, -87.70873499999999 42.015956000000074, -87.70866199999995 42.01914400000004, -87.70430999999996 42.01923100000005, -87.70194299999997 42.01927800000004, -87.69958999999994 42.019326000000035, -87.69644899999997 42.01939500000003, -87.69487899999996 42.01942900000006, -87.69271399999997 42.019476000000054, -87.69017399999996 42.01952800000004, -87.69019699999996 42.01743700000003, -87.69020299999994 42.01681800000006, -87.69024699999994 42.01228000000003, -87.69498599999997 42.01217600000007, -87.69735099999997 42.01212300000003, -87.69971899999996 42.012068000000056, -87.70445299999994 42.011964000000035, -87.70621999999997 42.01192200000003, -87.70726999999994 42.01189800000003, -87.70905699999997 42.01186100000007, -87.70874599999996 42.01550000000003))"
13,IL,Cook,17031020301,0.7275,0.9284,0.3724,0.7796,2.3,5.6,10.4,0.2,"POLYGON ((-87.70936899999998 42.00101300000006, -87.70934699999998 42.00465800000006, -87.70928899999996 42.006747000000075, -87.70924799999995 42.00832900000006, -87.70920399999994 42.00998800000008, -87.70905699999997 42.01186100000007, -87.70726999999994 42.01189800000003, -87.70621999999997 42.01192200000003, -87.70445299999994 42.011964000000035, -87.69971899999996 42.012068000000056, -87.69974599999995 42.01026600000006, -87.69975899999997 42.009363000000064, -87.69977199999994 42.008462000000065, -87.69981999999999 42.005754000000024, -87.69982899999997 42.00485100000003, -87.70460299999996 42.00475400000005, -87.70460399999996 42.00293300000004, -87.70583999999997 42.00109800000007, -87.70579899999996 41.99927700000006, -87.70823699999994 41.99923200000006, -87.70936199999994 41.999213000000054, -87.70936899999998 42.00101300000006))"
14,IL,Cook,17031020302,0.3504,0.7005,0.5042,0.8344,4.5,11.4,11.5,0.0,"POLYGON ((-87.69981999999999 42.005754000000024, -87.69977199999994 42.008462000000065, -87.69975899999997 42.009363000000064, -87.69974599999995 42.01026600000006, -87.69971899999996 42.012068000000056, -87.69735099999997 42.01212300000003, -87.69498599999997 42.01217600000007, -87.69024699999994 42.01228000000003, -87.69020699999999 42.01046000000008, -87.69018899999998 42.009817000000055, -87.69016099999999 42.008605000000045, -87.69012299999997 42.00715700000006, -87.69007099999999 42.005033000000026, -87.69372199999998 42.004972000000066, -87.69494699999996 42.00494700000007, -87.69738399999994 42.00489300000004, -87.69982899999997 42.00485100000003, -87.69981999999999 42.005754000000024))"
15,IL,Cook,17031020400,0.7498,0.145,0.766,0.8973,22.1,28.3,9.6,0.0,"POLYGON ((-87.69024699999994 42.01228000000003, -87.68755699999997 42.012253000000044, -87.68308599999995 42.01232300000004, -87.68232299999994 42.01015700000005, -87.68189099999995 42.008961000000056, -87.68184199999996 42.008845000000065, -87.68129799999997 42.00764600000008, -87.68116099999997 42.00735000000003, -87.68017099999997 42.005206000000044, -87.68036099999995 42.00520000000006, -87.68590699999999 42.00510200000008, -87.69007099999999 42.005033000000026, -87.69012299999997 42.00715700000006, -87.69016099999999 42.008605000000045, -87.69018899999998 42.009817000000055, -87.69020699999999 42.01046000000008, -87.69024699999994 42.01228000000003))"
16,IL,Cook,17031020500,0.9928,0.7839,0.8935,0.9396,14.6,24.9,43.0,0.0,"POLYGON ((-87.69007099999999 42.005033000000026, -87.68590699999999 42.00510200000008, -87.68036099999995 42.00520000000006, -87.68017099999997 42.005206000000044, -87.67975999999999 42.00430600000004, -87.67793799999998 42.000357000000065, -87.67683699999998 41.99795900000004, -87.67864699999996 41.997926000000064, -87.68013599999995 41.99789500000003, -87.68257299999999 41.997854000000075, -87.68379499999998 41.99783200000007, -87.68622899999997 41.997794000000056, -87.68988299999995 41.99773000000005, -87.68993099999994 41.99954400000007, -87.68994599999996 42.000144000000034, -87.68997699999994 42.00136800000007, -87.69002399999994 42.00318900000008, -87.69007099999999 42.005033000000026))"
17,IL,Cook,17031020601,0.8365,0.8639,0.5369,0.8298,6.6,4.3,17.3,1.0,"POLYGON ((-87.70823699999994 41.99923200000006, -87.70579899999996 41.99927700000006, -87.70583999999997 42.00109800000007, -87.70460399999996 42.00293300000004, -87.70460299999996 42.00475400000005, -87.69982899999997 42.00485100000003, -87.69738399999994 42.00489300000004, -87.69734399999999 42.00306100000006, -87.69729799999999 42.00123800000006, -87.69725499999998 41.99942800000008, -87.69720499999994 41.99760200000003, -87.69964199999998 41.997561000000076, -87.70085999999998 41.997539000000074, -87.70329399999997 41.99749700000007, -87.70451399999996 41.99747600000006, -87.70816199999996 41.99741000000006, -87.70823699999994 41.99923200000006))"
18,IL,Cook,17031020602,0.5655,0.4892,0.7021,0.7464,11.5,20.7,19.9,0.0,"POLYGON ((-87.69738399999994 42.00489300000004, -87.69494699999996 42.00494700000007, -87.69372199999998 42.004972000000066, -87.69007099999999 42.005033000000026, -87.69002399999994 42.00318900000008, -87.68997699999994 42.00136800000007, -87.68994599999996 42.000144000000034, -87.68993099999994 41.99954400000007, -87.68988299999995 41.99773000000005, -87.69354299999998 41.99766800000003, -87.69476499999996 41.99764600000003, -87.69720499999994 41.99760200000003, -87.69725499999998 41.99942800000008, -87.69729799999999 42.00123800000006, -87.69734399999999 42.00306100000006, -87.69738399999994 42.00489300000004))"
19,IL,Cook,17031020701,0.609,0.3842,0.5019,0.1861,5.8,13.2,9.8,0.0,"POLYGON ((-87.70916499999998 41.99038400000006, -87.70425399999993 41.99041500000004, -87.70303999999999 41.99042300000008, -87.70182599999998 41.99042900000006, -87.69940299999996 41.99044300000003, -87.69927799999994 41.98675700000007, -87.69923799999998 41.98554500000006, -87.69921799999997 41.98492500000003, -87.69915699999996 41.98312100000004, -87.70401199999998 41.98309800000004, -87.70581999999996 41.983088000000066, -87.70698199999998 41.98308000000003, -87.70737199999996 41.98440900000003, -87.70916499999998 41.99038400000006))"
20,IL,Cook,17031020702,0.8242,0.8244,0.7137,0.9118,6.1,28.0,20.9,0.0,"POLYGON ((-87.71067999999997 41.997366000000056, -87.70934399999999 41.997389000000055, -87.70936199999994 41.999213000000054, -87.70823699999994 41.99923200000006, -87.70816199999996 41.99741000000006, -87.70451399999996 41.99747600000006, -87.70329399999997 41.99749700000007, -87.70085999999998 41.997539000000074, -87.69964199999998 41.997561000000076, -87.69951599999996 41.99397800000003, -87.69940299999996 41.99044300000003, -87.70182599999998 41.99042900000006, -87.70303999999999 41.99042300000008, -87.70425399999993 41.99041500000004, -87.70916499999998 41.99038400000006, -87.70959899999997 41.991750000000025, -87.71012399999995 41.99381100000005, -87.71067999999997 41.997366000000056))"
21,IL,Cook,17031020801,0.724,0.2917,0.7409,0.7676,11.6,24.2,16.3,0.0,"POLYGON ((-87.69940299999996 41.99044300000003, -87.69818099999998 41.99045000000007, -87.69453399999998 41.99047100000007, -87.69209899999998 41.99048400000004, -87.68967299999997 41.990500000000054, -87.68954899999994 41.98681200000004, -87.68944799999997 41.983168000000035, -87.69308699999993 41.983152000000075, -87.69430299999999 41.98314600000003, -87.69915699999996 41.98312100000004, -87.69921799999997 41.98492500000003, -87.69923799999998 41.98554500000006, -87.69927799999994 41.98675700000007, -87.69940299999996 41.99044300000003))"
