,StateAbbr,StateDesc,CountyName,CountyFIPS,TractFIPS,BINGE_CrudePrev,CSMOKING_CrudePrev,DEPRESSION_CrudePrev,LPA_CrudePrev,SLEEP_CrudePrev,Geolocation
617,IL,Illinois,Cook,17031,17031280800,10.3,18.4,14.3,34.6,42.2,POINT (-87.68888809 41.87863019)
618,IL,Illinois,Cook,17031,17031803603,14.4,8.4,13.5,15.9,28.1,POINT (-88.09551867 42.12036638)
619,IL,Illinois,Cook,17031,17031060500,14.2,13.4,15.6,25.4,29.6,POINT (-87.66048789 41.95274085)
620,IL,Illinois,Cook,17031,17031351100,9.2,28.7,18.4,45.2,48.4,POINT (-87.61418538 41.82775536)
621,IL,Illinois,Cook,17031,17031830700,15.8,15.4,14.9,23.8,35.4,POINT (-87.65916661 41.96095857)
622,IL,Illinois,Cook,17031,17031804509,15.4,13.2,14.2,26.6,32.8,POINT (-88.16518211 42.00442926)
623,IL,Illinois,Cook,17031,17031222800,14.7,13.3,14.9,30.2,33.7,POINT (-87.71509352 41.91544408)
624,IL,Illinois,Cook,17031,17031150501,15.3,12.6,15.3,22.4,30.5,POINT (-87.78193464 41.96446893)
625,IL,Illinois,Cook,17031,17031670500,10.7,23.9,15.3,39.5,45.6,POINT (-87.67652376 41.78648914)
626,IL,Illinois,Cook,17031,17031803608,16.0,12.4,15.8,19.9,30.9,POINT (-88.07737189 42.14471212)
627,IL,Illinois,Cook,17031,17031420300,16.0,13.6,16.8,23.8,36.5,POINT (-87.59869478 41.7832102)
628,IL,Illinois,Cook,17031,17031823302,14.3,15.8,16.0,27.0,35.7,POINT (-87.72311905 41.66164096)
629,IL,Illinois,Cook,17031,17031843500,16.5,30.4,14.7,39.8,44.9,POINT (-87.69673925 41.83816118)
630,IL,Illinois,Cook,17031,17031630100,13.9,18.7,15.1,38.6,38.1,POINT (-87.68176155 41.79929343)
631,IL,Illinois,Cook,17031,17031400400,11.5,22.4,15.8,34.1,45.9,POINT (-87.61829495 41.79114511)
632,IL,Illinois,Cook,17031,17031460200,11.4,22.4,16.5,42.8,40.7,POINT (-87.54696823 41.74138473)
633,IL,Illinois,Cook,17031,17031808900,14.0,7.0,13.7,14.5,26.4,POINT (-87.71742769 42.06649928)
634,IL,Illinois,Cook,17031,17031833100,19.0,9.5,14.6,14.4,30.8,POINT (-87.65709077 41.87908329)
635,IL,Illinois,Cook,17031,17031826304,10.3,20.1,15.0,35.1,44.1,POINT (-87.58249888 41.61805504)
636,IL,Illinois,Cook,17031,17031807600,11.4,13.8,13.6,27.4,32.7,POINT (-87.72248202 42.02142886)
637,IL,Illinois,Cook,17031,17031824701,16.4,16.2,16.6,24.9,33.8,POINT (-87.71862382 41.62816477)
638,IL,Illinois,Cook,17031,17031071100,20.1,6.5,16.7,11.8,26.0,POINT (-87.65105283 41.9217876)
639,IL,Illinois,Cook,17031,17031691400,9.8,17.8,13.6,34.4,43.3,POINT (-87.61017666 41.75482878)
640,IL,Illinois,Cook,17031,17031020500,11.7,20.3,15.1,35.7,37.2,POINT (-87.68417063 42.00131857)
641,IL,Illinois,Cook,17031,17031300600,13.4,18.3,15.4,39.3,36.8,POINT (-87.71733435 41.8480085)
642,IL,Illinois,Cook,17031,17031711000,9.7,21.3,14.6,38.4,44.6,POINT (-87.64859976 41.73966364)
643,IL,Illinois,Cook,17031,17031220601,18.1,10.0,14.4,19.7,30.3,POINT (-87.71285889 41.92584211)
644,IL,Illinois,Cook,17031,17031828505,13.4,14.3,14.9,25.4,34.5,POINT (-87.56081825 41.54323145)
645,IL,Illinois,Cook,17031,17031819900,14.7,7.7,14.0,14.8,26.4,POINT (-87.90713316 41.80414071)
646,IL,Illinois,Cook,17031,17031830006,11.9,17.4,15.4,30.3,38.4,POINT (-87.72866042 41.49970787)
647,IL,Illinois,Cook,17031,17031803007,14.8,9.9,14.7,17.3,28.4,POINT (-87.9706521 42.1317453)
648,IL,Illinois,Cook,17031,17031020801,13.7,15.5,14.9,27.8,33.6,POINT (-87.694407 41.98681333)
649,IL,Illinois,Cook,17031,17031827400,9.9,23.2,14.7,40.7,45.0,POINT (-87.66597832 41.60526045)
650,IL,Illinois,Cook,17031,17031031502,14.2,18.4,15.7,29.2,37.9,POINT (-87.65235121 41.96366358)
651,IL,Illinois,Cook,17031,17031510200,10.0,19.7,14.5,37.5,41.7,POINT (-87.56005079 41.7142557)
652,IL,Illinois,Cook,17031,17031824117,15.9,11.0,15.5,18.0,29.3,POINT (-87.83794005 41.56945834)
653,IL,Illinois,Cook,17031,17031081300,12.3,6.8,13.2,16.5,26.2,POINT (-87.6207785 41.8983616)
